molecule_hash,smiles,pre-selection_counts,target_replicate_1,target_replicate_2,target_replicate_3
hash_2654,CCCCC,22,5,8,21
hash_2655,CCCCCC,16,7,7,22
hash_2656,CCCCCCC,20,7,7,22
hash_2657,CCCCCCCC,17,10,5,29
hash_2658,CCCCCCCCC,11,4,5,22
hash_2659,CCCCCCCCCC,25,3,5,30
hash_2660,C,9,8,7,26
hash_2661,CC,21,6,5,29
hash_2662,CCC,15,0,1,24
hash_2663,CCCC,21,3,7,25
hash_2664,CCCCC,22,2,8,24
hash_2665,CCCCCC,20,2,6,23
hash_2666,CCCCCCC,24,4,7,19
hash_2667,CCCCCCCC,22,5,5,29
hash_2668,CCCCCCCCC,21,3,4,23
hash_2669,CCCCCCCCCC,13,7,9,26
hash_2670,C,18,9,5,23
hash_2671,CC,19,8,4,30
hash_2672,CCC,23,5,1,27
hash_2673,CCCC,34,3,7,24
hash_2674,CCCCC,17,3,2,23
hash_2675,CCCCCC,20,5,8,28
hash_2676,CCCCCCC,26,4,7,15
hash_2677,CCCCCCCC,25,4,3,24
hash_2678,CCCCCCCCC,16,5,2,26
hash_2679,CCCCCCCCCC,14,5,1,31
hash_2680,C,29,7,5,17
hash_2681,CC,23,2,5,23
hash_2682,CCC,19,6,2,21
hash_2683,CCCC,12,4,4,24
hash_2684,CCCCC,15,3,2,29
hash_2685,CCCCCC,21,4,9,18
hash_2686,CCCCCCC,13,5,7,26
hash_2687,CCCCCCCC,23,4,6,22
hash_2688,CCCCCCCCC,17,6,14,22
hash_2689,CCCCCCCCCC,16,3,4,22
hash_2690,C,22,5,2,18
hash_2691,CC,20,7,3,20
hash_2692,CCC,26,5,3,22
hash_2693,CCCC,18,1,3,27
hash_2694,CCCCC,17,5,9,22
hash_2695,CCCCCC,18,3,6,34
hash_2696,CCCCCCC,18,5,6,14
hash_2697,CCCCCCCC,31,8,2,24
hash_2698,CCCCCCCCC,20,4,4,25
hash_2699,CCCCCCCCCC,30,1,2,23
hash_2700,C,19,2,6,28
hash_2701,CC,20,5,5,21
hash_2702,CCC,20,7,4,21
hash_2703,CCCC,28,3,5,23
hash_2704,CCCCC,16,3,5,34
hash_2705,CCCCCC,24,4,4,22
hash_2706,CCCCCCC,20,6,7,15
hash_2707,CCCCCCCC,18,5,4,30
hash_2708,CCCCCCCCC,19,12,2,23
hash_2709,CCCCCCCCCC,20,5,9,17
hash_2710,C,22,5,2,22
hash_2711,CC,18,4,4,23
hash_2712,CCC,23,8,5,29
hash_2713,CCCC,25,4,2,30
hash_2714,CCCCC,20,5,4,29
hash_2715,CCCCCC,15,5,4,24
hash_2716,CCCCCCC,24,8,8,24
hash_2717,CCCCCCCC,18,5,3,25
hash_2718,CCCCCCCCC,23,6,4,16
hash_2719,CCCCCCCCCC,19,4,5,23
hash_2720,C,12,3,6,28
hash_2721,CC,13,5,4,24
hash_2722,CCC,19,2,7,26
hash_2723,CCCC,15,8,4,25
hash_2724,CCCCC,20,10,5,21
hash_2725,CCCCCC,19,9,3,25
hash_2726,CCCCCCC,20,4,5,29
hash_2727,CCCCCCCC,18,3,6,24
hash_2728,CCCCCCCCC,23,6,4,18
hash_2729,CCCCCCCCCC,17,8,6,24
hash_2730,C,23,8,2,29
hash_2731,CC,22,5,4,23
hash_2732,CCC,24,5,4,24
hash_2733,CCCC,22,5,3,25
hash_2734,CCCCC,18,7,8,36
hash_2735,CCCCCC,21,6,5,27
hash_2736,CCCCCCC,16,4,3,24
hash_2737,CCCCCCCC,18,6,7,19
hash_2738,CCCCCCCCC,23,2,2,17
hash_2739,CCCCCCCCCC,16,9,5,30
hash_2740,C,22,4,6,17
hash_2741,CC,16,2,5,19
hash_2742,CCC,12,4,7,27
hash_2743,CCCC,25,8,4,23
hash_2744,CCCCC,22,5,8,18
hash_2745,CCCCCC,20,4,6,35
hash_2746,CCCCCCC,19,7,5,13
hash_2747,CCCCCCCC,19,5,10,29
hash_2748,CCCCCCCCC,20,4,4,28
hash_2749,CCCCCCCCCC,21,1,2,21
hash_2750,C,19,6,5,28
hash_2751,CC,25,4,7,27
hash_2752,CCC,16,4,6,22
hash_2753,CCCC,19,1,4,25
hash_2754,CCCCC,14,3,3,15
hash_2755,CCCCCC,12,3,5,26
hash_2756,CCCCCCC,23,2,4,23
hash_2757,CCCCCCCC,24,6,7,22
hash_2758,CCCCCCCCC,23,4,7,25
hash_2759,CCCCCCCCCC,24,5,3,31
hash_2760,C,16,5,4,30
hash_2761,CC,34,3,4,30
hash_2762,CCC,14,4,3,27
hash_2763,CCCC,15,4,5,22
hash_2764,CCCCC,13,2,1,21
hash_2765,CCCCCC,17,4,5,32
hash_2766,CCCCCCC,21,6,3,19
hash_2767,CCCCCCCC,19,3,5,29
hash_2768,CCCCCCCCC,13,4,2,22
hash_2769,CCCCCCCCCC,28,5,6,23
hash_2770,C,19,5,7,17
hash_2771,CC,11,6,4,28
hash_2772,CCC,20,6,8,21
hash_2773,CCCC,11,4,5,27
hash_2774,CCCCC,16,6,2,18
hash_2775,CCCCCC,19,5,6,26
hash_2776,CCCCCCC,33,3,6,20
hash_2777,CCCCCCCC,14,9,9,28
hash_2778,CCCCCCCCC,22,5,7,24
hash_2779,CCCCCCCCCC,24,1,5,24
hash_2780,C,19,10,3,28
hash_2781,CC,15,3,5,30
hash_2782,CCC,18,3,5,28
hash_2783,CCCC,21,7,6,24
hash_2784,CCCCC,20,7,7,32
hash_2785,CCCCCC,23,7,4,23
hash_2786,CCCCCCC,21,6,6,21
hash_2787,CCCCCCCC,22,8,4,18
hash_2788,CCCCCCCCC,26,5,5,26
hash_2789,CCCCCCCCCC,26,4,2,26
hash_2790,C,22,5,2,22
hash_2791,CC,20,4,4,26
hash_2792,CCC,22,5,6,28
hash_2793,CCCC,18,5,3,27
hash_2794,CCCCC,19,4,2,27
hash_2795,CCCCCC,18,5,7,26
hash_2796,CCCCCCC,20,7,6,16
hash_2797,CCCCCCCC,15,1,2,27
hash_2798,CCCCCCCCC,17,2,7,19
hash_2799,CCCCCCCCCC,29,8,0,18
hash_2800,C,25,9,4,26
hash_2801,CC,17,5,3,30
hash_2802,CCC,20,1,6,25
hash_2803,CCCC,21,5,7,20
hash_2804,CCCCC,25,2,3,28
hash_2805,CCCCCC,19,6,6,37
hash_2806,CCCCCCC,21,5,4,27
hash_2807,CCCCCCCC,20,3,8,24
hash_2808,CCCCCCCCC,18,6,4,27
hash_2809,CCCCCCCCCC,21,6,7,26
hash_2810,C,15,4,5,25
hash_2811,CC,21,6,5,26
hash_2812,CCC,15,4,6,16
hash_2813,CCCC,20,5,5,21
hash_2814,CCCCC,25,3,3,28
hash_2815,CCCCCC,15,3,6,27
hash_2816,CCCCCCC,14,3,5,28
hash_2817,CCCCCCCC,19,3,5,29
hash_2818,CCCCCCCCC,33,4,8,14
hash_2819,CCCCCCCCCC,21,6,2,25
hash_2820,C,22,7,7,30
hash_2821,CC,14,1,0,28
hash_2822,CCC,17,6,3,29
hash_2823,CCCC,15,6,1,21
hash_2824,CCCCC,24,5,8,24
hash_2825,CCCCCC,25,6,6,18
hash_2826,CCCCCCC,16,9,3,31
hash_2827,CCCCCCCC,18,6,11,21
hash_2828,CCCCCCCCC,21,4,1,27
hash_2829,CCCCCCCCCC,21,5,5,32
hash_2830,C,19,5,6,23
hash_2831,CC,25,4,3,31
hash_2832,CCC,23,6,2,17
hash_2833,CCCC,22,10,7,27
hash_2834,CCCCC,22,5,4,23
hash_2835,CCCCCC,24,2,8,37
hash_2836,CCCCCCC,22,7,5,27
hash_2837,CCCCCCCC,13,5,6,25
hash_2838,CCCCCCCCC,21,4,9,23
hash_2839,CCCCCCCCCC,17,3,4,22
hash_2840,C,32,5,7,20
hash_2841,CC,16,1,5,28
hash_2842,CCC,22,6,8,23
hash_2843,CCCC,21,5,5,28
hash_2844,CCCCC,24,5,4,33
hash_2845,CCCCCC,18,3,2,20
hash_2846,CCCCCCC,25,2,5,25
hash_2847,CCCCCCCC,23,2,5,23
hash_2848,CCCCCCCCC,31,5,8,22
hash_2849,CCCCCCCCCC,20,3,2,29
hash_2850,C,21,5,4,20
hash_2851,CC,18,4,3,24
hash_2852,CCC,17,4,7,31
hash_2853,CCCC,23,2,2,27
hash_2854,CCCCC,25,6,6,34
hash_2855,CCCCCC,19,2,4,19
hash_2856,CCCCCCC,26,3,6,26
hash_2857,CCCCCCCC,29,9,4,20
hash_2858,CCCCCCCCC,19,11,4,26
hash_2859,CCCCCCCCCC,11,4,9,22
hash_2860,C,22,8,8,27
hash_2861,CC,18,5,7,32
hash_2862,CCC,17,5,2,26
hash_2863,CCCC,22,11,5,34
hash_2864,CCCCC,15,7,4,28
hash_2865,CCCCCC,20,8,3,33
hash_2866,CCCCCCC,20,6,8,23
hash_2867,CCCCCCCC,24,2,1,20
hash_2868,CCCCCCCCC,17,6,5,32
hash_2869,CCCCCCCCCC,23,5,5,28
hash_2870,C,26,9,2,29
hash_2871,CC,10,12,7,22
hash_2872,CCC,20,2,3,23
hash_2873,CCCC,20,4,8,23
hash_2874,CCCCC,10,5,7,27
hash_2875,CCCCCC,21,9,1,24
hash_2876,CCCCCCC,16,4,8,28
hash_2877,CCCCCCCC,30,12,4,21
hash_2878,CCCCCCCCC,16,3,2,29
hash_2879,CCCCCCCCCC,18,1,8,19
hash_2880,C,21,5,8,19
hash_2881,CC,29,4,4,20
hash_2882,CCC,24,3,6,40
hash_2883,CCCC,25,6,7,18
hash_2884,CCCCC,15,4,5,28
hash_2885,CCCCCC,15,5,7,36
hash_2886,CCCCCCC,20,5,5,18
hash_2887,CCCCCCCC,20,3,4,24
hash_2888,CCCCCCCCC,18,6,4,20
hash_2889,CCCCCCCCCC,24,1,3,15
hash_2890,C,27,2,7,21
hash_2891,CC,19,4,4,27
hash_2892,CCC,19,4,4,23
hash_2893,CCCC,31,5,11,24
hash_2894,CCCCC,27,3,7,33
hash_2895,CCCCCC,22,4,4,25
hash_2896,CCCCCCC,24,3,4,25
hash_2897,CCCCCCCC,19,3,6,35
hash_2898,CCCCCCCCC,20,6,4,26
hash_2899,CCCCCCCCCC,20,4,5,29
hash_2900,C,22,7,2,28
hash_2901,CC,12,3,4,26
hash_2902,CCC,26,5,8,26
hash_2903,CCCC,25,6,3,38
hash_2904,CCCCC,17,2,4,28
hash_2905,CCCCCC,16,0,5,20
hash_2906,CCCCCCC,16,3,5,31
hash_2907,CCCCCCCC,17,4,11,32
hash_2908,CCCCCCCCC,15,4,3,37
hash_2909,CCCCCCCCCC,29,6,6,29
hash_2910,C,21,8,5,36
hash_2911,CC,20,4,4,20
hash_2912,CCC,33,3,3,25
hash_2913,CCCC,13,3,4,30
hash_2914,CCCCC,19,2,9,28
hash_2915,CCCCCC,27,9,10,20
hash_2916,CCCCCCC,19,4,10,28
hash_2917,CCCCCCCC,21,6,3,26
hash_2918,CCCCCCCCC,28,4,2,24
hash_2919,CCCCCCCCCC,26,5,7,22
hash_2920,C,19,2,1,25
hash_2921,CC,24,3,7,30
hash_2922,CCC,20,6,5,26
hash_2923,CCCC,26,3,2,20
hash_2924,CCCCC,20,3,4,38
hash_2925,CCCCCC,19,4,2,22
hash_2926,CCCCCCC,22,4,5,21
hash_2927,CCCCCCCC,22,6,6,27
hash_2928,CCCCCCCCC,17,3,5,22
hash_2929,CCCCCCCCCC,18,5,4,28
hash_2930,C,22,5,7,24
hash_2931,CC,26,6,3,22
hash_2932,CCC,12,7,3,31
hash_2933,CCCC,25,3,8,24
hash_2934,CCCCC,17,6,5,29
hash_2935,CCCCCC,15,7,3,34
hash_2936,CCCCCCC,22,8,7,34
hash_2937,CCCCCCCC,22,6,2,17
hash_2938,CCCCCCCCC,23,9,4,15
hash_2939,CCCCCCCCCC,10,1,5,32
hash_2940,C,23,5,3,26
hash_2941,CC,16,5,3,28
hash_2942,CCC,25,4,5,19
hash_2943,CCCC,24,2,6,37
hash_2944,CCCCC,18,7,3,23
hash_2945,CCCCCC,21,5,3,27
hash_2946,CCCCCCC,21,2,4,35
hash_2947,CCCCCCCC,25,5,2,22
hash_2948,CCCCCCCCC,32,1,9,28
hash_2949,CCCCCCCCCC,20,8,6,26
hash_2950,C,23,2,4,18
hash_2951,CC,19,5,2,22
hash_2952,CCC,23,7,2,15
hash_2953,CCCC,24,5,3,41
hash_2954,CCCCC,21,2,8,30
hash_2955,CCCCCC,22,2,3,20
hash_2956,CCCCCCC,16,6,7,27
hash_2957,CCCCCCCC,10,4,5,22
hash_2958,CCCCCCCCC,22,5,3,27
hash_2959,CCCCCCCCCC,15,7,1,29
hash_2960,C,19,2,5,25
hash_2961,CC,14,6,9,27
hash_2962,CCC,18,4,4,28
hash_2963,CCCC,23,6,8,17
hash_2964,CCCCC,18,2,3,30
hash_2965,CCCCCC,20,8,2,26
hash_2966,CCCCCCC,21,3,4,23
hash_2967,CCCCCCCC,20,8,3,24
hash_2968,CCCCCCCCC,22,5,7,26
hash_2969,CCCCCCCCCC,25,6,4,35
hash_2970,C,14,4,7,28
hash_2971,CC,19,3,3,27
hash_2972,CCC,20,5,6,18
hash_2973,CCCC,20,7,4,21
hash_2974,CCCCC,20,2,7,23
hash_2975,CCCCCC,25,6,4,23
hash_2976,CCCCCCC,23,4,3,26
hash_2977,CCCCCCCC,24,5,4,20
hash_2978,CCCCCCCCC,20,5,5,24
hash_2979,CCCCCCCCCC,10,6,9,19
hash_2980,C,14,1,2,28
hash_2981,CC,28,5,7,28
hash_2982,CCC,24,7,8,24
hash_2983,CCCC,22,4,10,29
hash_2984,CCCCC,9,6,10,22
hash_2985,CCCCCC,15,7,2,27
hash_2986,CCCCCCC,24,6,4,21
hash_2987,CCCCCCCC,21,3,7,24
hash_2988,CCCCCCCCC,15,8,2,26
hash_2989,CCCCCCCCCC,18,3,4,28
hash_2990,C,30,7,3,23
hash_2991,CC,22,2,11,21
hash_2992,CCC,25,9,3,20
hash_2993,CCCC,16,3,7,28
hash_2994,CCCCC,18,5,4,24
hash_2995,CCCCCC,23,5,6,28
hash_2996,CCCCCCC,18,1,7,24
hash_2997,CCCCCCCC,25,3,3,24
hash_2998,CCCCCCCCC,16,2,4,24
hash_2999,CCCCCCCCCC,20,3,2,26
hash_3000,C,22,8,6,26
hash_3001,CC,16,4,5,29
hash_3002,CCC,20,4,7,23
hash_3003,CCCC,27,8,5,25
hash_3004,CCCCC,17,7,7,24
hash_3005,CCCCCC,15,7,4,19
hash_3006,CCCCCCC,20,5,6,28
hash_3007,CCCCCCCC,23,2,6,17
hash_3008,CCCCCCCCC,17,8,6,27
hash_3009,CCCCCCCCCC,25,5,7,17
hash_3010,C,18,6,4,27
hash_3011,CC,26,9,8,21
hash_3012,CCC,23,4,5,33
hash_3013,CCCC,22,5,3,34
hash_3014,CCCCC,24,6,5,17
hash_3015,CCCCCC,20,6,6,25
hash_3016,CCCCCCC,21,1,8,23
hash_3017,CCCCCCCC,27,6,3,28
hash_3018,CCCCCCCCC,24,3,2,24
hash_3019,CCCCCCCCCC,20,3,5,25
hash_3020,C,20,7,3,25
hash_3021,CC,18,5,7,28
hash_3022,CCC,23,6,6,23
hash_3023,CCCC,16,4,12,35
hash_3024,CCCCC,17,3,4,34
hash_3025,CCCCCC,19,6,9,26
hash_3026,CCCCCCC,18,6,3,32
hash_3027,CCCCCCCC,19,7,2,31
hash_3028,CCCCCCCCC,23,2,4,27
hash_3029,CCCCCCCCCC,18,7,1,30
hash_3030,C,21,1,6,20
hash_3031,CC,23,6,3,40
hash_3032,CCC,16,7,7,31
hash_3033,CCCC,25,5,5,22
hash_3034,CCCCC,21,3,2,24
hash_3035,CCCCCC,23,6,2,26
hash_3036,CCCCCCC,19,4,4,22
hash_3037,CCCCCCCC,21,4,7,24
hash_3038,CCCCCCCCC,25,3,3,23
hash_3039,CCCCCCCCCC,18,3,10,21
hash_3040,C,19,5,2,30
hash_3041,CC,16,6,2,25
hash_3042,CCC,13,6,8,27
hash_3043,CCCC,17,5,8,22
hash_3044,CCCCC,14,4,4,24
hash_3045,CCCCCC,31,6,4,28
hash_3046,CCCCCCC,26,2,5,19
hash_3047,CCCCCCCC,19,3,5,31
hash_3048,CCCCCCCCC,18,3,2,25
hash_3049,CCCCCCCCCC,18,5,4,31
hash_3050,C,28,4,5,22
hash_3051,CC,29,5,5,33
hash_3052,CCC,16,9,2,28
hash_3053,CCCC,20,4,5,18
hash_3054,CCCCC,24,4,4,26
hash_3055,CCCCCC,22,4,9,22
hash_3056,CCCCCCC,15,5,5,32
hash_3057,CCCCCCCC,24,4,4,21
hash_3058,CCCCCCCCC,26,7,6,25
hash_3059,CCCCCCCCCC,20,6,3,19
hash_3060,C,22,6,11,23
hash_3061,CC,18,8,8,28
hash_3062,CCC,24,6,5,21
hash_3063,CCCC,21,5,7,28
hash_3064,CCCCC,23,3,3,23
hash_3065,CCCCCC,22,6,4,19
hash_3066,CCCCCCC,24,5,9,33
hash_3067,CCCCCCCC,19,4,8,28
hash_3068,CCCCCCCCC,25,0,12,26
hash_3069,CCCCCCCCCC,16,8,7,20
hash_3070,C,23,1,8,34
hash_3071,CC,22,3,2,30
hash_3072,CCC,11,4,1,35
hash_3073,CCCC,24,6,6,20
hash_3074,CCCCC,17,6,2,31
hash_3075,CCCCCC,19,5,4,26
hash_3076,CCCCCCC,22,8,7,27
hash_3077,CCCCCCCC,26,7,6,18
hash_3078,CCCCCCCCC,14,3,7,22
hash_3079,CCCCCCCCCC,33,3,5,25
hash_3080,C,17,6,9,24
hash_3081,CC,13,2,4,16
hash_3082,CCC,24,5,4,28
hash_3083,CCCC,22,4,4,29
hash_3084,CCCCC,18,7,2,26
hash_3085,CCCCCC,15,5,3,22
hash_3086,CCCCCCC,28,8,5,21
hash_3087,CCCCCCCC,17,6,4,24
hash_3088,CCCCCCCCC,24,7,2,30
hash_3089,CCCCCCCCCC,17,2,9,25
hash_3090,C,18,11,2,31
hash_3091,CC,20,6,6,31
hash_3092,CCC,27,8,9,23
hash_3093,CCCC,31,4,9,24
hash_3094,CCCCC,21,8,6,26
hash_3095,CCCCCC,20,4,5,23
hash_3096,CCCCCCC,24,9,3,21
hash_3097,CCCCCCCC,24,8,9,28
hash_3098,CCCCCCCCC,21,4,9,21
hash_3099,CCCCCCCCCC,25,4,6,33
hash_3100,C,10,5,4,25
hash_3101,CC,16,5,8,25
hash_3102,CCC,16,2,5,21
hash_3103,CCCC,30,3,5,25
hash_3104,CCCCC,18,8,6,31
hash_3105,CCCCCC,21,4,2,29
hash_3106,CCCCCCC,18,5,9,30
hash_3107,CCCCCCCC,9,4,6,26
hash_3108,CCCCCCCCC,23,7,5,30
hash_3109,CCCCCCCCCC,24,9,8,22
hash_3110,C,11,6,5,20
hash_3111,CC,19,6,4,20
hash_3112,CCC,19,4,5,29
hash_3113,CCCC,20,4,4,15
hash_3114,CCCCC,24,3,6,21
hash_3115,CCCCCC,17,8,7,21
hash_3116,CCCCCCC,19,5,2,24
hash_3117,CCCCCCCC,24,11,6,23
hash_3118,CCCCCCCCC,22,5,3,31
hash_3119,CCCCCCCCCC,20,5,2,19
hash_3120,C,26,4,6,20
hash_3121,CC,17,3,4,27
hash_3122,CCC,20,11,4,16
hash_3123,CCCC,32,4,5,24
hash_3124,CCCCC,19,5,4,14
hash_3125,CCCCCC,11,7,6,24
hash_3126,CCCCCCC,17,7,5,23
hash_3127,CCCCCCCC,24,7,5,33
hash_3128,CCCCCCCCC,22,4,4,27
hash_3129,CCCCCCCCCC,12,4,4,27
hash_3130,C,22,6,1,29
hash_3131,CC,17,3,6,21
hash_3132,CCC,26,4,9,27
hash_3133,CCCC,23,7,2,32
hash_3134,CCCCC,16,7,9,24
hash_3135,CCCCCC,15,6,6,29
hash_3136,CCCCCCC,12,7,8,20
hash_3137,CCCCCCCC,20,3,7,22
hash_3138,CCCCCCCCC,22,6,6,29
hash_3139,CCCCCCCCCC,20,5,8,24
hash_3140,C,20,4,2,26
hash_3141,CC,25,7,0,30
hash_3142,CCC,22,8,5,30
hash_3143,CCCC,24,7,5,23
hash_3144,CCCCC,18,3,8,18
hash_3145,CCCCCC,27,2,7,22
hash_3146,CCCCCCC,18,5,6,21
hash_3147,CCCCCCCC,24,4,5,32
hash_3148,CCCCCCCCC,22,1,5,27
hash_3149,CCCCCCCCCC,16,3,4,18
hash_3150,C,13,5,5,34
hash_3151,CC,12,2,7,19
hash_3152,CCC,11,6,11,23
hash_3153,CCCC,13,5,8,24
hash_3154,CCCCC,19,4,6,29
hash_3155,CCCCCC,19,4,1,31
hash_3156,CCCCCCC,16,8,10,22
hash_3157,CCCCCCCC,15,8,5,26
hash_3158,CCCCCCCCC,20,7,4,24
hash_3159,CCCCCCCCCC,22,2,5,24
hash_3160,C,16,2,7,36
hash_3161,CC,19,9,6,30
hash_3162,CCC,14,5,5,23
hash_3163,CCCC,19,4,3,25
hash_3164,CCCCC,17,5,5,36
hash_3165,CCCCCC,23,7,4,21
hash_3166,CCCCCCC,19,1,6,29
hash_3167,CCCCCCCC,17,7,7,29
hash_3168,CCCCCCCCC,17,4,3,25
hash_3169,CCCCCCCCCC,21,3,5,25
hash_3170,C,26,4,7,30
hash_3171,CC,17,6,4,25
hash_3172,CCC,17,6,5,17
hash_3173,CCCC,29,6,5,38
hash_3174,CCCCC,21,6,2,22
hash_3175,CCCCCC,20,10,4,28
hash_3176,CCCCCCC,9,3,4,17
hash_3177,CCCCCCCC,16,6,1,29
hash_3178,CCCCCCCCC,20,4,6,22
hash_3179,CCCCCCCCCC,18,7,2,27
hash_3180,C,21,5,5,19
hash_3181,CC,15,5,5,25
hash_3182,CCC,22,3,6,21
hash_3183,CCCC,15,3,2,29
hash_3184,CCCCC,17,5,1,22
hash_3185,CCCCCC,34,5,6,32
hash_3186,CCCCCCC,21,2,3,23
hash_3187,CCCCCCCC,22,4,10,22
hash_3188,CCCCCCCCC,19,8,7,32
hash_3189,CCCCCCCCCC,18,4,3,27
hash_3190,C,14,4,3,25
hash_3191,CC,15,7,5,34
hash_3192,CCC,12,3,4,22
hash_3193,CCCC,22,5,15,36
hash_3194,CCCCC,17,3,4,19
hash_3195,CCCCCC,19,8,9,23
hash_3196,CCCCCCC,16,3,5,21
hash_3197,CCCCCCCC,23,4,6,28
hash_3198,CCCCCCCCC,22,7,4,24
hash_3199,CCCCCCCCCC,25,8,3,35
hash_3200,C,11,4,6,22
hash_3201,CC,13,3,5,27
hash_3202,CCC,30,5,5,28
hash_3203,CCCC,16,5,9,23
hash_3204,CCCCC,19,4,4,21
hash_3205,CCCCCC,26,8,10,22
hash_3206,CCCCCCC,26,5,9,24
hash_3207,CCCCCCCC,19,3,8,27
hash_3208,CCCCCCCCC,21,2,3,26
hash_3209,CCCCCCCCCC,18,6,5,19
hash_3210,C,20,4,3,30
hash_3211,CC,13,3,7,41
hash_3212,CCC,30,5,2,29
hash_3213,CCCC,22,6,5,33
hash_3214,CCCCC,26,3,8,31
hash_3215,CCCCCC,12,3,7,23
hash_3216,CCCCCCC,20,4,2,31
hash_3217,CCCCCCCC,15,4,3,21
hash_3218,CCCCCCCCC,11,7,5,24
hash_3219,CCCCCCCCCC,19,8,6,11
hash_3220,C,14,3,6,34
hash_3221,CC,10,2,7,26
hash_3222,CCC,21,6,9,24
hash_3223,CCCC,16,8,3,20
hash_3224,CCCCC,21,8,3,34
hash_3225,CCCCCC,13,1,6,25
hash_3226,CCCCCCC,24,6,2,27
hash_3227,CCCCCCCC,14,4,4,18
hash_3228,CCCCCCCCC,16,5,5,21
hash_3229,CCCCCCCCCC,17,2,4,30
hash_3230,C,20,4,2,26
hash_3231,CC,18,7,8,25
hash_3232,CCC,12,6,5,26
hash_3233,CCCC,19,4,4,23
hash_3234,CCCCC,23,7,6,23
hash_3235,CCCCCC,32,5,4,23
hash_3236,CCCCCCC,30,6,6,29
hash_3237,CCCCCCCC,17,1,4,25
hash_3238,CCCCCCCCC,20,2,9,20
hash_3239,CCCCCCCCCC,28,5,6,25
hash_3240,C,13,3,2,23
hash_3241,CC,26,3,2,25
hash_3242,CCC,20,3,3,28
hash_3243,CCCC,16,6,3,26
hash_3244,CCCCC,25,2,7,21
hash_3245,CCCCCC,22,5,4,32
hash_3246,CCCCCCC,18,5,3,28
hash_3247,CCCCCCCC,26,5,4,21
hash_3248,CCCCCCCCC,20,4,8,23
hash_3249,CCCCCCCCCC,25,6,5,43
hash_3250,C,16,2,3,22
hash_3251,CC,20,5,8,15
hash_3252,CCC,12,4,4,23
hash_3253,CCCC,26,4,9,20
hash_3254,CCCCC,16,5,7,24
hash_3255,CCCCCC,20,11,5,22
hash_3256,CCCCCCC,20,5,6,22
hash_3257,CCCCCCCC,23,4,8,23
hash_3258,CCCCCCCCC,20,4,6,26
hash_3259,CCCCCCCCCC,23,8,3,27
hash_3260,C,16,5,5,22
hash_3261,CC,22,8,3,25
hash_3262,CCC,17,5,2,26
hash_3263,CCCC,15,5,2,24
hash_3264,CCCCC,22,6,8,33
hash_3265,CCCCCC,25,7,5,22
hash_3266,CCCCCCC,27,8,4,26
hash_3267,CCCCCCCC,16,3,3,21
hash_3268,CCCCCCCCC,19,4,11,14
hash_3269,CCCCCCCCCC,22,6,4,31
hash_3270,C,16,8,3,20
hash_3271,CC,21,3,9,20
hash_3272,CCC,13,6,6,19
hash_3273,CCCC,19,4,6,29
hash_3274,CCCCC,20,3,4,26
hash_3275,CCCCCC,23,4,8,23
hash_3276,CCCCCCC,25,4,1,31
hash_3277,CCCCCCCC,15,4,7,29
hash_3278,CCCCCCCCC,19,3,5,24
hash_3279,CCCCCCCCCC,19,7,7,19
hash_3280,C,15,8,4,29
hash_3281,CC,20,9,6,24
hash_3282,CCC,21,6,1,30
hash_3283,CCCC,19,6,2,25
hash_3284,CCCCC,28,5,5,34
hash_3285,CCCCCC,24,3,4,33
hash_3286,CCCCCCC,21,1,10,26
hash_3287,CCCCCCCC,19,8,3,24
hash_3288,CCCCCCCCC,25,4,8,28
hash_3289,CCCCCCCCCC,22,6,4,37
hash_3290,C,21,4,6,31
hash_3291,CC,12,0,5,18
hash_3292,CCC,12,3,6,26
hash_3293,CCCC,17,6,5,25
hash_3294,CCCCC,16,3,6,21
hash_3295,CCCCCC,20,2,1,22
hash_3296,CCCCCCC,22,2,8,27
hash_3297,CCCCCCCC,19,6,1,21
hash_3298,CCCCCCCCC,19,5,4,29
hash_3299,CCCCCCCCCC,24,5,5,17
hash_3300,C,13,5,12,30
hash_3301,CC,21,3,3,26
hash_3302,CCC,18,6,4,24
hash_3303,CCCC,18,2,8,21
hash_3304,CCCCC,14,9,6,18
hash_3305,CCCCCC,23,3,8,24
hash_3306,CCCCCCC,19,5,4,26
hash_3307,CCCCCCCC,34,1,8,27
hash_3308,CCCCCCCCC,29,4,6,26
hash_3309,CCCCCCCCCC,20,3,5,20
hash_3310,C,13,1,8,31
hash_3311,CC,26,5,6,30
hash_3312,CCC,21,4,5,33
hash_3313,CCCC,16,6,2,25
hash_3314,CCCCC,20,4,4,26
hash_3315,CCCCCC,14,4,8,22
hash_3316,CCCCCCC,27,8,10,22
hash_3317,CCCCCCCC,23,4,4,18
hash_3318,CCCCCCCCC,20,3,5,32
hash_3319,CCCCCCCCCC,26,6,4,30
hash_3320,C,18,5,6,33
hash_3321,CC,24,6,5,19
hash_3322,CCC,19,10,1,18
hash_3323,CCCC,30,8,6,20
hash_3324,CCCCC,23,4,5,22
hash_3325,CCCCCC,18,4,4,24
hash_3326,CCCCCCC,25,7,8,17
hash_3327,CCCCCCCC,23,5,6,27
hash_3328,CCCCCCCCC,16,6,5,22
hash_3329,CCCCCCCCCC,20,8,4,25
hash_3330,C,17,4,8,39
hash_3331,CC,19,3,3,17
hash_3332,CCC,21,5,2,26
hash_3333,CCCC,25,7,3,27
